user_id,user_type,session_duration
BM3C0BJ7CS,variation,15.528768781617313
MJWN6XNH6L,variation,32.28759003178515
46ZPHHABLS,variation,43.718216801972446
OHA298DHUG,variation,49.519702415150014
AKJ77X6F4A,control,61.70902752683465
BFNWMGU6DX,variation,71.77928343229509
UFO2V8ZKFB,variation,23.29183517048038
4CEIM3VRS9,control,25.219460520991063
90AGF68FF8,control,26.24048239522002
R3DQFO6068,variation,20.780243754150327
IGIX3B44RJ,variation,36.441294643310414
9ATAIJW8XC,control,58.74802639598118
62JTTFGY7B,variation,48.75034675818372
PY2XT9LMJJ,control,137.03680289102613
BMW73Q38MO,variation,16.59529779573747
XF9ECCMYIG,variation,44.49566616344108
ZN2WKA5Z8J,variation,26.670061339751445
JXWJYQRYW6,variation,34.436675785029294
SR8ZBSYWH7,control,19.92148101513808
R8CI7IEVY6,variation,20.721094107094093
BNP69052W1,control,18.825220195908575
I2KO58NV4U,control,75.25179496444615
HNS20FUW2M,control,38.27213776310383
ZTAXLG2C5O,control,29.171041284617058
PKRT6Z0Q7R,variation,19.601852768835453
OQS6MQCGW6,variation,41.74218977671596
4BW9R6WMX8,variation,19.744852937433148
2RRDN1AIVY,control,15.696436720951384
G0EVIUQIUJ,variation,32.62018093539675
96MWY9WRAG,variation,44.99513901095374
HTFVWY0MUH,variation,70.89162309817202
HJCPNE98IF,control,37.83860270834533
0R0LCGQC1N,control,30.068430751967274
OSM58LULZG,variation,79.47428573762213
M4YT239PVF,variation,50.641822149114695
FTRBWPWFX9,control,21.003181482032847
M0A2HC3U23,variation,19.6781926695675
B9E4S84DUW,control,86.19711926909228
2P4EDWBDLZ,variation,13.083609094442842
J40Y62DZFG,variation,25.7933294774567
GF1MXSHT56,variation,27.142717412898477
VFJMANDI8K,control,46.969979654861724
O0ZO1QG110,control,46.47776713170745
W3GBJMKMNY,control,14.834641054622523
M3VUNUQWSO,variation,38.2658087047327
JID2KQKOV7,variation,13.463796816960338
I2YALUDHK6,variation,11.904389039832072
QCO7BWY705,control,17.704413654190333
3D2H24A98U,variation,10.323645084230234
RVQD00161H,variation,15.118087475372846
0KEC83GJYE,control,26.446936756087187
PRDXWW3814,control,52.038416165946046
NYURY8LJHW,variation,39.656084074913245
N5RUGNSQGD,control,14.016684953015265
3KV2077VM5,variation,80.40080937538971
30Y4O2GYE4,control,17.40178604181727
YQZH0LXI28,variation,31.555603408557413
NBF4QJSMN6,variation,21.19870433851465
B9OW9BORUY,variation,39.48152481523758
G5V3HMFCFY,control,19.928545408473525
Q49TCS4SR6,variation,71.69962731059165
WB2RXRDQ8J,variation,24.58260361736225
O12FVDTVLD,variation,23.87839828195229
9O0481TDGY,variation,20.061141165657503
O6ILEXXQ1B,control,18.113934967475785
9RMW0J6JW6,control,25.095460882562588
9OQGI8DCOA,control,36.187884250694346
Z7AQGSEK6U,control,19.833526960476306
BNN984JAYV,variation,25.921693138041633
APPIX26AA0,control,36.90434083722753
OEO8M761UM,control,20.863821803929383
DODQ00NQFP,variation,22.090037921857288
62WNYHJHKH,control,23.725966686412015
G9ZPGUFVDF,control,61.42056498380992
7XS535XGXN,control,36.90209160932471
9HKAFT2D9U,control,53.743846546367365
4OSEJJSH2U,control,43.017901704322945
VVUWLV5X4H,variation,35.967961980372046
931WCGXOL0,variation,29.018160287489376
9RMQH14X9A,control,18.688242503761
IK9JI2PEF5,variation,17.805938768140237
HORWVHKPUM,control,19.6314326613934
XC1KDRCVOB,control,23.781284181530427
N6D4F9WTGU,control,52.224846720759665
N0UUOWG3P2,variation,31.08674693193952
AC245ZGO5V,variation,39.097431526521575
Q2GLK83TBY,variation,24.808981889667972
4BVY7TU1CA,variation,7.576501346934313
JPC6JN1T30,control,44.19315211340438
